game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Over,Jaylen Brown,-105,25.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Under,Jaylen Brown,-115,25.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Over,Jayson Tatum,-112,27.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Under,Jayson Tatum,-108,27.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Over,Payton Pritchard,-104,14.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Under,Payton Pritchard,-118,14.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Over,Jakob Poeltl,-110,13.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points,Under,Jakob Poeltl,-110,13.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Jayson Tatum,-113,32.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Jayson Tatum,-113,32.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Derrick White,-113,20.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Derrick White,-113,20.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Scottie Barnes,-111,28.5
